country_code,iata,airport,latitude,longitude
AF,TII,Tarinkot Airport,32.6042,65.8658
AF,URZ,Uruzgan Airport,32.903,66.6309
AF,KHT,Khost Airfield,33.3334,69.952
AF,OLR,Forward Operating Base Salerno,33.3638,69.9561
AF,UND,Kunduz Airport,36.6651,68.9108
AF,OAA,Forward Operating Base Shank,33.9225,69.0772
AF,JAA,Jalalabad Airport,34.3998,70.4986
AF,OAS,Sharana Airstrip / Forward Operating Base Sharana,33.1258,68.8385
AF,URN,Urgun Airport,32.9318,69.1563
AF,OAI,Bagram Airfield,34.9461,69.265
AF,TQN,Taloqan Airport,36.7707,69.532
AG,BBQ,Barbuda Codrington Airport,17.6358,-61.8286
AG,ANU,V. C. Bird International Airport,17.1367,-61.7927
AI,AXA,Clayton J. Lloyd International Airport,18.2048,-63.0551
AM,EVN,Zvartnots International Airport,40.1473,44.3959
AM,LWN,Gyumri Shirak Airport,40.7504,43.8593
AO,AZZ,Ambriz Airport,-7.86222,13.1161
AO,BUG,Benguela Airport (Gen. V. Deslandes Airport),-12.609,13.4037
AO,CBT,Catumbela Airport,-12.4792,13.4869
AO,LLT,Lobito Airport,-12.3757,13.561
AO,ANL,Andulo Airport,-11.4723,16.7109
AO,SVP,Kuito Airport,-12.4046,16.9474
AO,CAB,Cabinda Airport,-5.59699,12.1884
AO,VPE,Ondjiva Pereira Airport,-17.0435,15.6838
AO,XGN,Xangongo Airport,-16.7554,14.9653
AO,NOV,Albano Machado Airport,-12.8089,15.7605
AO,JMB,Jamba Airport,-14.6982,16.0701
AO,SDD,Lubango Mukanka Airport,-14.9247,13.575
AO,CTI,Cuito Cuanavale Airport,-15.1603,19.1561
AO,DRC,Dirico Airport,-17.9819,20.7681
AO,SPP,Menongue Airport,-14.6576,17.7198
AO,NDF,N'dalatando Airport,-9.27519,14.9772
AO,CEO,Waco Kungo Airport,-11.4264,15.1014
AO,NDD,Sumbe Airport,-11.1679,13.8475
AO,PBN,Porto Amboim Airport,-10.722,13.7655
AO,LAD,Quatro de Fevereiro Airport,-8.85837,13.2312
AO,CFF,Cafunfo Airport,-8.78361,17.9897
AO,DUE,Dundo Airport,-7.40089,20.8185
AO,LBZ,Lucapa Airport,-8.44573,20.7321
AO,LZM,Cuango-Luzamba Airport,-9.11596,18.0493
AO,NZA,Nzagi Airport,-7.71694,21.3582
AO,PGI,Chitato Airport,-7.35889,20.8047
AO,VHC,Henrique de Carvalho Airport,-9.68907,20.4319
AO,KNP,Kapanda Airport,-9.76937,15.4553
AO,MEG,Malanje Airport,-9.52509,16.3124
AO,CAV,Cazombo Airport,-11.8931,22.9164
AO,CNZ,Cangamba Airport,-13.7106,19.8611
AO,GGC,Lumbala N'guimbo Airport,-14.105,21.45
AO,LUO,Luena Airport,-11.7681,19.8977
AO,UAL,Luau Airport,-10.7158,22.2311
AO,MSZ,Namibe Airport (Yuri Gagarin Airport),-15.2612,12.1468
AO,GXG,Negage Airport,-7.75451,15.2877
AO,UGO,Uige Airport,-7.60307,15.0278
AO,ARZ,N'zeto Airport,-7.25944,12.8631
AO,SSY,Mbanza Congo Airport,-6.2699,14.247
AO,SZA,Soyo Airport,-6.14109,12.3718
AQ,TNM,Teniente R. Marsh Airport,-62.1908,-58.9867
AR,AEP,Aeroparque Internacional Jorge Newbery,-34.5589,-58.4164
AR,BHI,Comandante Espora Airport,-38.725,-62.1693
AR,CPG,Carmen de Patagones Airport,-40.7781,-62.9803
AR,CSZ,Brigadier Hector Eduardo Ruiz Airport,-37.4461,-61.8893
AR,EPA,El Palomar Airport,-34.6099,-58.6126
AR,EZE,Ministro Pistarini International Airport,-34.8222,-58.5358
AR,JNI,Junin Airport,-34.5459,-60.9306
AR,LPG,La Plata Airport,-34.9722,-57.8947
AR,MDQ,Astor Piazzolla International Airport,-37.9342,-57.5733
AR,MJR,Miramar Airport,-38.2271,-57.8697
AR,NEC,Necochea Airport,-38.4831,-58.8172
AR,OVR,Olavarria Airport,-36.89,-60.2166
AR,OYO,Tres Arroyos Airport,-38.3869,-60.3297
AR,PEH,Comodoro Pedro Zanni Airport,-35.8446,-61.8576
AR,SST,Santa Teresita Airport,-36.5423,-56.7218
AR,TDL,Tandil Airport,-37.2374,-59.2279
AR,VGS,General Villegas Airport,-35,-63
AR,VLG,Villa Gesell Airport,-37.2354,-57.0292
AR,CTC,Coronel Felipe Varela International Airport,-28.5956,-65.7517
AR,CNT,Charata Airport,-27.2164,-61.2103
AR,PRQ,Presidencia Roque Saenz Pena Airport,-26.7536,-60.4922
AR,RES,Resistencia International Airport,-27.45,-59.0561
AR,ARR,Alto Rio Senguer Airport,-45.0136,-70.8122
AR,CRD,General Enrique Mosconi International Airport,-45.7853,-67.4655
AR,EMX,El Maiten Airport,-42.0292,-71.1725
AR,EQS,Esquel Airport,-42.908,-71.1395
AR,JSM,Jose de San Martin Airport,-44.0486,-70.4589
AR,OLN,Lago Musters Airport,-45.5824,-68.9998
AR,PMY,El Tehuelche Airport,-42.7592,-65.1027
AR,REL,Almirante Marcos A. Zar Airport,-43.2105,-65.2703
AR,ROY,Rio Mayo Airport,-45.7039,-70.2456
AR,COR,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas),-31.3236,-64.208
AR,LCM,La Cumbre Airport,-31.0058,-64.5319
AR,RCU,Las Higueras Airport,-33.0851,-64.2613
AR,VDR,Villa Dolores Airport,-31.9452,-65.1463
AR,AOL,Paso de los Libres Airport,-29.6894,-57.1521
AR,CNQ,Doctor Fernando Piragine Niveyro International Airport,-27.4455,-58.7619
AR,MCS,Monte Caseros Airport,-30.2719,-57.6402
AR,MDX,Mercedes Airport,-29.2214,-58.0878
AR,OYA,Goya Airport,-29.1058,-59.2189
AR,UZU,Curuzu Cuatia Airport,-29.7706,-57.9789
AR,COC,Comodoro Pierrestegui Airport,-31.2969,-57.9966
AR,GHU,Gualeguaychu Airport,-33.0103,-58.6131
AR,PRA,General Justo Jose de Urquiza Airport,-31.7948,-60.4804
AR,CLX,Clorinda Airport,-25.3036,-57.7344
AR,FMA,Formosa International Airport (El Pucu Airport),-26.2127,-58.2281
AR,LLS,Alferez Armando Rodriguez Airport,-24.7214,-60.5488
AR,JUJ,Gobernador Horacio Guzman International Airport,-24.3928,-65.0978
AR,GPO,General Pico Airport,-35.6962,-63.7583
AR,RSA,Santa Rosa Airport (Argentina),-36.5883,-64.2757
AR,IRJ,Capitan Vicente Almandos Almonacid Airport,-29.3816,-66.7958
AR,AFA,San Rafael Airport (Argentina),-34.5883,-68.4039
AR,LGS,Comodoro D. Ricardo Salomon Airport,-35.4936,-69.5743
AR,MDZ,Gov. Francisco Gabrielli International Airport (El Plumerillo),-32.8317,-68.7929
AR,ELO,Eldorado Airport,-26.3975,-54.5747
AR,IGR,Cataratas del Iguazu International Airport,-25.7373,-54.4734
AR,PSS,Libertador General Jose de San Martin Airport,-27.3858,-55.9707
AR,APZ,Zapala Airport,-38.9755,-70.1136
AR,CPC,Aviador Carlos Campos Airport,-40.0754,-71.1373
AR,CUT,Cutral Co Airport,-38.9397,-69.2646
AR,CVH,Caviahue Airport,-37.8514,-71.0092
AR,HOS,Chos Malal Airport,-37.4447,-70.2225
AR,LCP,Loncopue Airport,-38.0819,-70.6439
AR,NQN,Presidente Peron International Air,-38.949,-68.1557
AR,RDS,Rincon de los Sauces Airport,-37.3906,-68.9042
AR,BRC,San Carlos de Bariloche Airport,-41.1512,-71.1575
AR,CCT,Colonia Catriel Airport,-37.9102,-67.835
AR,EHL,El Bolson Airport,-41.9432,-71.5323
AR,GNR,Dr. Arturo Umberto Illia Airport,-39.0007,-67.6205
AR,IGB,Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport),-41.3209,-69.5749
AR,LMD,Los Menucos Airport,-40.8177,-68.0747
AR,MQD,Maquinchao Airport,-41.2431,-68.7078
AR,OES,Antoine de Saint Exupery Airport,-40.7512,-65.0343
AR,SGV,Sierra Grande Airport,-41.5917,-65.3394
AR,VCF,Valcheta Airport,-40.7,-66.15
AR,VDM,Gobernador Edgardo Castello Airport,-40.8692,-63.0004
AR,ORA,Oran Air,-23.1528,-64.3292
AR,SLA,Martin Miguel de Guemes International Airport,-24.856,-65.4862
AR,TTG,Tartagal Airport,-22.6196,-63.7937
AR,UAQ,Domingo Faustino Sarmiento Airport,-31.5715,-68.4182
AR,LUQ,Brigadier Mayor Cesar Raul Ojeda Airport,-33.2732,-66.3564
AR,RLO,Valle del Conlara Airport,-32.3847,-65.1865
AR,VME,Villa Reynolds Airport,-33.7299,-65.3874
AR,CVI,Caleta Olivia Airport,-46.4318,-67.5186
AR,FTE,Comandante Armando Tola International Airport,-50.2803,-72.0531
AR,GGS,Gobernador Gregores Airport,-48.7831,-70.15
AR,LHS,Las Heras Airport,-46.5383,-68.9653
AR,PMQ,Perito Moreno Airport,-46.5379,-70.9787
AR,PUD,Puerto Deseado Airport,-47.7353,-65.9041
AR,RGL,Piloto Civil Norberto Fernandez International Airport,-51.6089,-69.3126
AR,RYO,Rio Turbio Airport,-51.605,-72.2203
AR,RZA,Santa Cruz Airport (Argentina),-50.0165,-68.5792
AR,ULA,Capitan Jose Daniel Vazquez Airport,-49.3068,-67.8026
AR,CRR,Ceres Airport,-29.8723,-61.9279
AR,NCJ,Sunchales Airport,-30.9575,-61.5283
AR,RAF,Rafaela Airport,-31.2825,-61.5017
AR,RCQ,Reconquista Airport,-29.2103,-59.68
AR,ROS,Rosario - Islas Malvinas International Airport,-32.9036,-60.785
AR,SFN,Sauce Viejo Airport,-31.7117,-60.8117
AR,RHD,Termas de Rio Hondo Airport,-27.4966,-64.936
AR,SDE,Vicecomodoro Angel de la Paz Aragones Airport,-27.7656,-64.31
AR,RGA,Hermes Quijada International Airport,-53.7777,-67.7494
AR,USH,Ushuaia - Malvinas Argentinas International Airport,-54.8433,-68.2958
AR,TUC,Teniente General Benjamin Matienzo International Airport,-26.8409,-65.1049
AS,OFU,Ofu Airport,-14.1844,-169.67
AS,PPG,Pago Pago International Airport,-14.331,-170.71
AS,TAV,Tau Airport,-14.2292,-169.511
AT,KLU,Klagenfurt Airport,46.6425,14.3377
AT,VIE,Vienna International Airport,48.1103,16.5697
AT,LNZ,Linz Airport (Blue Danube Airport),48.2332,14.1875
AT,SZG,Salzburg Airport,47.7933,13.0043
AT,GRZ,Graz Airport,46.9911,15.4396
AT,INN,Innsbruck Airport (Kranebitten Airport),47.2602,11.344
AT,HOH,Hohenems-Dornbirn Airport,47.385,9.7
AU,CBR,Canberra Airport,-35.3069,149.195
AU,ABX,Albury Airport,-36.0678,146.958
AU,ARM,Armidale Airport,-30.5281,151.617
AU,BEO,Lake Macquarie Airport (Belmont Airport),-33.0667,151.648
AU,BHQ,Broken Hill Airport,-32.0014,141.472
AU,BHS,Bathurst Airport,-33.4094,149.652
AU,BNK,Ballina Byron Gateway Airport,-28.8339,153.562
AU,BRK,Bourke Airport,-30.0392,145.952
AU,BWQ,Brewarrina Airport,-29.9739,146.817
AU,BWU,Bankstown Airport,-33.9244,150.988
AU,BZD,Balranald Airport,-34.6236,143.578
AU,CAZ,Cobar Airport,-31.5383,145.794
AU,CBX,Condobolin Airport,-33.0644,147.209
AU,CDU,Camden Airport,-34.0403,150.687
AU,CES,Cessnock Airport,-32.7875,151.342
AU,CFS,Coffs Harbour Airport,-30.3206,153.116
AU,CLH,Coolah Airport,-31.7733,149.61
AU,CMD,Cootamundra Airport,-34.6239,148.028
AU,CNB,Coonamble Airport,-30.9833,148.376
AU,COJ,Coonabarabran Airport,-31.3325,149.267
AU,CRB,Collarenebri Airport,-29.5217,148.582
AU,CSI,Casino Airport,-28.8828,153.067
AU,CUG,Cudal Airport,-33.2783,148.763
AU,CWT,Cowra Airport,-33.8447,148.649
AU,CWW,Corowa Airport,-35.9947,146.357
AU,DBO,Dubbo City Regional Airport,-32.2167,148.575
AU,DGE,Mudgee Airport,-32.5625,149.611
AU,DNQ,Deniliquin Airport,-35.5594,144.946
AU,EVH,Evans Head Memorial Aerodrome,-29.0933,153.42
AU,FLY,Finley Airport,-35.6667,145.55
AU,FOT,Forster (Wallis Island) Airport,-32.2042,152.479
AU,FRB,Forbes Airport,-33.3636,147.935
AU,GFE,Grenfell Airport,-34,148.133
AU,GFF,Griffith Airport,-34.2508,146.067
AU,GFN,Clarence Valley Regional Airport,-29.7594,153.03
AU,GLI,Glen Innes Airport,-29.675,151.689
AU,GOS,Somersby Airfield,-33.3678,151.3
AU,GUH,Gunnedah Airport,-30.9611,150.251
AU,GUL,Goulburn Airport,-34.8103,149.726
AU,HXX,Hay Airport,-34.5314,144.83
AU,IVR,Inverell Airport,-29.8883,151.144
AU,KPS,Kempsey Airport,-31.0744,152.77
AU,LBH,Palm Beach Water Airport,-33.5871,151.323
AU,LDH,Lord Howe Island Airport,-31.5383,159.077
AU,LHG,Lightning Ridge Airport,-29.4567,147.984
AU,LSY,Lismore Airport,-28.8303,153.26
AU,MIM,Merimbula Airport,-36.9086,149.901
AU,MRZ,Moree Airport,-29.4989,149.845
AU,MTL,Maitland Airport,-32.7013,151.493
AU,MVH,Macksville Airport,-30.7,152.917
AU,MYA,Moruya Airport,-35.8978,150.144
AU,NAA,Narrabri Airport,-30.3192,149.827
AU,NBH,Nambucca Heads Airport,-30.65,153
AU,NGA,Young Airport,-34.2556,148.248
AU,NOA,NAS Nowra,-34.9489,150.537
AU,NRA,Narrandera Airport,-34.7022,146.512
AU,NSO,Scone Airport,-32.0372,150.832
AU,NTL,Newcastle Airport / RAAF Base Williamtown,-32.795,151.834
AU,NYN,Nyngan Airport,-31.5511,147.203
AU,OAG,Orange Airport,-33.3817,149.133
AU,OOM,Cooma-Snowy Mountains Airport,-36.3006,148.974
AU,PKE,Parkes Airport,-33.1314,148.239
AU,PQQ,Port Macquarie Airport,-31.4358,152.863
AU,RSE,Rose Bay Water Airport,-33.869,151.262
AU,SIX,Singleton Airport,-32.6008,151.193
AU,SYD,Sydney Airport (Kingsford Smith Airport),-33.9461,151.177
AU,TCW,Tocumwal Airport,-35.8117,145.608
AU,TEM,Temora Airport,-34.4214,147.512
AU,TMW,Tamworth Regional Airport,-31.0839,150.847
AU,TRO,Taree Airport,-31.8886,152.514
AU,TUM,Tumut Airport,-35.2628,148.241
AU,TYB,Tibooburra Airport,-29.4511,142.058
AU,UIR,Quirindi Airport,-31.4906,150.514
AU,WAU,Wauchope Airport,-20.6406,134.215
AU,WEW,Wee Waa Airport,-30.2583,149.408
AU,WGA,Wagga Wagga Airport,-35.1653,147.466
AU,WGE,Walgett Airport,-30.0328,148.126
AU,WIO,Wilcannia Airport,-31.5264,143.375
AU,WLC,Walcha Airport,-31,151.567
AU,WOL,Illawarra Regional Airport,-34.5611,150.789
AU,WWY,West Wyalong Airport,-33.9372,147.191
AU,XRH,RAAF Base Richmond,-33.6006,150.781
AU,AMX,Ammaroo Airport,-21.7383,135.242
AU,ANZ,Angus Downs Airport,-25.0325,132.275
AU,ASP,Alice Springs Airport,-23.8067,133.902
AU,AVG,Auvergne Airport,-15.7,130
AU,AWP,Austral Downs Airport,-20.5,137.75
AU,AXL,Alexandria Homestead Airport,-19.0602,136.71
AU,AYD,Alroy Downs Airport,-19.2908,136.079
AU,AYL,Anthony Lagoon Airport,-18.0181,135.535
AU,AYQ,Ayers Rock Airport,-25.1861,130.976
AU,BCZ,Bickerton Island Airport,-13.7808,136.202
AU,BOX,Borroloola Airport,-16.0753,136.302
AU,BRT,Bathurst Island Airport,-11.7692,130.62
AU,BTD,Brunette Downs Airport,-18.64,135.938
AU,BYX,Baniyala Airport,-13.1981,136.227
AU,CDA,Cooinda Airport,-12.9033,132.532
AU,CFI,Camfield Airport,-17.0217,131.327
AU,CKI,Croker Island Airport,-11.165,132.483
AU,COB,Coolibah Airport,-15.5483,130.962
AU,CSD,Cresswell Downs Airport,-17.948,135.916
AU,CTR,Cattle Creek Airport,-17.607,131.549
AU,DKV,Docker River Airport,-24.86,129.07
AU,DLV,Delissaville Airport,-12.55,130.685
AU,DRW,Darwin International Airport,-12.4147,130.877
AU,DVR,Daly River Airport,-13.7498,130.694
AU,DYW,Daly Waters Airport,-16.2647,133.383
AU,EDD,Erldunda Airport,-25.2058,133.254
AU,EKD,Elkedra Airport,-21.1725,135.444
AU,ELC,Elcho Island Airport,-12.0194,135.571
AU,EVD,Eva Downs Airport,-18.001,134.863
AU,FIK,Finke Airport,-25.5947,134.583
AU,GBL,South Goulburn Island Airport,-11.65,133.382
AU,GOV,Gove Airport,-12.2694,136.818
AU,GPN,Garden Point Airport,-11.4025,130.422
AU,GTE,Groote Eylandt Airport,-13.975,136.46
AU,GTS,The Granites Airport,-26.9483,133.607
AU,HMG,Hermannsburg Airport,-23.93,132.805
AU,HOK,Hooker Creek Airport,-18.3367,130.638
AU,HRY,Henbury Airport,-24.584,133.236
AU,HUB,Humbert River Airport,-16.4897,130.63
AU,IVW,Inverway Airport,-17.8411,129.643
AU,JAB,Jabiru Airport,-12.6583,132.893
AU,KBB,Kirkimbie Airport,-17.7792,129.21
AU,KBJ,Kings Canyon Airport,-24.26,131.49
AU,KCS,Kings Creek Station Airport,-24.4233,131.835
AU,KFG,Kalkgurung Airport,-17.4319,130.808
AU,KGR,Kulgera Airport,-25.8428,133.292
AU,KRD,Kurundi Airport,-20.51,134.671
AU,KTR,RAAF Base Tindal,-14.5211,132.378
AU,LEL,Lake Evella Airport,-12.4989,135.806
AU,LIB,Limbunya Airport,-17.2356,129.882
AU,LNH,Lake Nash Airport,-20.9807,137.918
AU,MCV,McArthur River Mine Airport,-16.4425,136.084
AU,MFP,Manners Creek Airport,-22.1,137.983
AU,MGT,Milingimbi Airport,-12.0944,134.894
AU,MIY,Mittiebah Airport,-18.8093,137.081
AU,MIZ,Mainoru Airport,-14.0533,134.094
AU,MKV,Mount Cavenagh Airport,-25.9667,133.2
AU,MNG,Maningrida Airport,-12.0561,134.234
AU,MNV,Mount Valley Airport,-14.1167,133.833
AU,MNW,MacDonald Downs Airport,-22.444,135.199
AU,MQE,Marqua Airport,-22.8058,137.251
AU,MRT,Moroak Airport,-14.8181,133.701
AU,MSF,Mount Swan Airport,-22.6247,135.035
AU,MTD,Mount Sandford Station Airport,-16.9783,130.555
AU,MUP,Mulga Park Airport,-25.86,131.65
AU,NPP,Napperby Airport,-22.5312,133.763
AU,NRY,Newry Airport,-16.0442,129.264
AU,NUB,Numbulwar Airport,-14.2717,135.717
AU,PEP,Peppimenarti Airport,-14.1442,130.091
AU,PKT,Port Keats Airfield,-14.25,129.529
AU,RAM,Ramingining Airport,-12.3564,134.898
AU,RDA,Rockhampton Downs Airport,-18.9533,135.201
AU,RPB,Roper Bar Airport,-14.7348,134.525
AU,RPM,Ngukurr Airport,-14.7228,134.747
AU,RPV,Roper Valley Airport,-14.9215,134.05
AU,RRV,Robinson River Airport (Northern Territory),-16.7183,136.945
AU,SHU,Smith Point Airport,-11.15,132.15
AU,SNB,Snake Bay Airport,-11.4228,130.654
AU,TBK,Timber Creek Airport,-15.62,130.445
AU,TCA,Tennant Creek Airport,-19.6344,134.183
AU,TYP,Tobermorey Airport,-22.2558,137.953
AU,UTD,Nutwood Downs Airport,-15.8074,134.146
AU,VCD,Victoria River Downs Airport,-16.4021,131.005
AU,WAV,Wave Hill Airport,-17.3933,131.118
AU,WLL,Wollogorang Airport,-17.2199,137.935
AU,WLO,Waterloo Airport,-16.63,129.32
AU,YUE,Yuendumu Airport,-22.2542,131.782
AU,AAB,Arrabury Airport,-26.693,141.048
AU,ABG,Abingdon Airport,-17.6167,143.167
AU,ABH,Alpha Airport,-23.6461,146.584
AU,ABM,Northern Peninsula Airport,-10.9508,142.459
AU,AGW,Agnew Airport,-12.1456,142.149
AU,AUD,Augustus Downs Airport,-18.515,139.878
AU,AUU,Aurukun Airport,-13.3541,141.721
AU,AXC,Aramac Airport,-22.9667,145.242
AU,AYR,Ayr Airport,-19.5844,147.329
AU,BBL,Ballera Airport,-27.4056,141.809
AU,BCI,Barcaldine Airport,-23.5653,145.307
AU,BCK,Bolwarra Airport,-17.3883,144.169
AU,BDB,Bundaberg Airport,-24.9039,152.319
AU,BDD,Badu Island Airport,-10.15,142.173
AU,BEU,Bedourie Airport,-24.3461,139.46
AU,BFC,Bloomfield Airport,-15.8736,145.33
AU,BHT,Brighton Downs Airport,-23.3639,141.563
AU,BIP,Bulimba Airport,-16.8808,143.479
AU,BKP,Barkly Downs Airport,-20.4958,138.475
AU,BKQ,Blackall Airport,-24.4278,145.429
AU,BLS,Bollon Airport,-28.0583,147.483
AU,BLT,Blackwater Airport,-23.6031,148.807
AU,BMP,Brampton Island Airport,-20.8033,149.27
AU,BNE,Brisbane Airport,-27.3842,153.117
AU,BQL,Boulia Airport,-22.9133,139.9
AU,BTX,Betoota Airport,-25.6417,140.783
AU,BUC,Burketown Airport,-17.7486,139.534
AU,BVI,Birdsville Airport,-25.8975,139.348
AU,BVW,Batavia Downs Airport,-12.6592,142.675
AU,BZP,Bizant Airport,-14.7403,144.119
AU,CBY,Canobie Airport,-19.4794,140.927
AU,CCL,Chinchilla Airport,-26.775,150.617
AU,CDQ,Croydon Airport,-18.225,142.258
AU,CFP,Carpentaria Downs Airport,-18.7167,144.317
AU,CMA,Cunnamulla Airport,-28.03,145.622
AU,CML,Camooweal Airport,-19.9117,138.125
AU,CMQ,Clermont Airport,-22.7731,147.621
AU,CNC,Coconut Island Airport,-10.05,143.07
AU,CNJ,Cloncurry Airport,-20.6686,140.504
AU,CNS,Cairns Airport,-16.8858,145.755
AU,CQP,Cape Flattery Airport,-14.9708,145.312
AU,CRH,Cherrabah Airport,-28.4301,152.089
AU,CTL,Charleville Airport,-26.4133,146.262
AU,CTN,Cooktown Airport,-15.4447,145.184
AU,CUD,Caloundra Airport,-26.8,153.1
AU,CUQ,Coen Airport,-13.7611,143.113
AU,CXT,Charters Towers Airport,-20.0431,146.273
AU,CZY,Cluny Airport,-24.5167,139.617
AU,DBY,Dalby Airport,-27.1553,151.267
AU,DDN,Delta Downs Airport,-16.9917,141.317
AU,DFP,Drumduff Airport,-16.053,143.012
AU,DHD,Durham Downs Airport,-27.075,141.9
AU,DKI,Dunk Island Airport,-17.9417,146.14
AU,DMD,Doomadgee Airport,-17.9403,138.822
AU,DNB,Dunbar Airport,-16.05,142.4
AU,DRD,Dorunda Airport,-16.5537,141.824
AU,DRN,Dirranbandi Airport,-28.5917,148.217
AU,DRR,Durrie Airport,-25.685,140.228
AU,DVP,Davenport Downs Airport,-24.15,141.108
AU,DXD,Dixie Airport,-15.1175,143.316
AU,DYA,Dysart Airport,-22.6222,148.364
AU,DYM,Diamantina Lakes Airport,-23.7617,141.145
AU,EDR,Edward River Airport,-14.8965,141.609
AU,EIH,Einasleigh Airport,-18.5033,144.094
AU,EMD,Emerald Airport,-23.5675,148.179
AU,ERQ,Elrose Airport,-20.9764,141.007
AU,GAH,Gayndah Airport,-25.6144,151.619
AU,GBP,Gamboola Airport,-16.55,143.667
AU,GGD,Gregory Downs Airport,-18.625,139.233
AU,GIC,Boigu Island Airport,-9.23278,142.218
AU,GKL,Great Keppel Island Airport,-23.1833,150.942
AU,GLG,Glengyle Airport,-24.8083,139.6
AU,GLM,Glenormiston Airport,-22.8883,138.825
AU,GLT,Gladstone Airport,-23.8697,151.223
AU,GOO,Goondiwindi Airport,-28.5214,150.32
AU,GPD,Mount Gordon Airport,-19.7726,139.404
AU,GTT,Georgetown Airport,-18.305,143.53
AU,GVP,Greenvale Airport,-18.9966,145.014
AU,GYP,Gympie Airport,-26.2828,152.702
AU,HAT,Heathlands Airport,-11.7369,142.577
AU,HGD,Hughenden Airport,-20.815,144.225
AU,HID,Horn Island Airport,-10.5864,142.29
AU,HIG,Highbury Airport,-16.4244,143.146
AU,HIP,Headingly Airport,-21.3333,138.283
AU,HLV,Helenvale Airport,-15.6858,145.215
AU,HPE,Hopevale Airport,-15.2923,145.104
AU,HTI,Great Barrier Reef Airport,-20.3581,148.952
AU,HVB,Hervey Bay Airport,-25.3189,152.88
AU,IFF,Iffley Airport,-18.9,141.217
AU,IFL,Innisfail Airport,-17.5594,146.012
AU,IGH,Ingham Airport,-18.6606,146.152
AU,IKP,Inkerman Airport,-16.275,141.442
AU,INJ,Injune Airport,-25.851,148.55
AU,IRG,Lockhart River Airport,-12.7869,143.305
AU,ISA,Mount Isa Airport,-20.6639,139.489
AU,ISI,Isisford Airport,-24.2583,144.425
AU,JCK,Julia Creek Airport,-20.6683,141.723
AU,JUN,Jundah Airport,-24.8417,143.058
AU,KCE,Collinsville Airport,-20.5967,147.86
AU,KDS,Kamaran Downs Airport,-24.3388,139.279
AU,KGY,Kingaroy Airport,-26.5808,151.841
AU,KKP,Koolburra Airport,-15.3189,143.955
AU,KML,Kamileroi Airport,-19.375,140.057
AU,KOH,Koolatah Airport,-15.8886,142.439
AU,KPP,Kalpowar Airport,-14.89,144.22
AU,KRB,Karumba Airport,-17.4567,140.83
AU,KSV,Springvale Airport,-23.55,140.7
AU,KUG,Kubin Airport,-10.225,142.218
AU,KWM,Kowanyama Airport,-15.4856,141.751
AU,LDC,Lindeman Island Airport,-20.4536,149.04
AU,LFP,Lakefield Airport,-14.9207,144.203
AU,LKD,Lakeland Downs Airport,-15.8333,144.85
AU,LLG,Chillagoe Airport,-17.1428,144.529
AU,LLP,Linda Downs Airport,-23.0167,138.7
AU,LOA,Lorraine Airport,-18.9933,139.907
AU,LRE,Longreach Airport,-23.4342,144.28
AU,LTP,Lyndhurst Airport,-19.1958,144.371
AU,LTV,Lotus Vale Station Airport,-17.0483,141.376
AU,LUT,New Laura Airport,-15.1833,144.367
